price,rooms,year built,kr/m2,m2,datetime,postal_code,Loan interest rate,Inflation,Salary,GDP,category
1775000.0,3.0,1966.0,20640.0,86.0,2017-03-31,2665.0,0.1,0.3,100.8,495.4,47
1440000.0,2.0,1962.0,23607.0,61.0,2017-03-30,2610.0,0.1,0.3,100.8,495.4,38
4495000.0,5.0,1885.0,40864.0,110.0,2017-03-30,2100.0,0.1,0.3,100.8,495.4,32
1800000.0,4.0,1912.0,18367.0,98.0,2017-03-30,2100.0,0.1,0.3,100.8,495.4,32
1375000.0,3.0,1963.0,19643.0,70.0,2017-03-30,2630.0,0.1,0.3,100.8,495.4,44
2598000.0,3.0,1931.0,30209.0,86.0,2017-03-30,2300.0,0.1,0.3,100.8,495.4,29
1850000.0,2.0,1934.0,31897.0,58.0,2017-03-30,2920.0,0.1,0.3,100.8,495.4,6
2285000.0,4.0,1961.0,26570.0,86.0,2017-03-30,2830.0,0.1,0.3,100.8,495.4,50
2150000.0,2.0,1932.0,37069.0,58.0,2017-03-30,2500.0,0.1,0.3,100.8,495.4,45
1850000.0,2.0,1935.0,34906.0,53.0,2017-03-30,2200.0,0.1,0.3,100.8,495.4,27
1525000.0,2.0,1939.0,26754.0,57.0,2017-03-30,2920.0,0.1,0.3,100.8,495.4,6
2700000.0,3.0,1991.0,31765.0,85.0,2017-03-30,2200.0,0.1,0.3,100.8,495.4,27
1681000.0,2.0,1936.0,30564.0,55.0,2017-03-30,2300.0,0.1,0.3,100.8,495.4,29
6000000.0,1.0,1942.0,27397.0,219.0,2017-03-30,1620.0,0.1,0.3,100.8,495.4,31
3100000.0,3.0,2001.0,38750.0,80.0,2017-03-30,2000.0,0.1,0.3,100.8,495.4,9
1800000.0,1.0,1935.0,32727.0,55.0,2017-03-30,2400.0,0.1,0.3,100.8,495.4,28
1875000.0,2.0,1935.0,35377.0,53.0,2017-03-30,2200.0,0.1,0.3,100.8,495.4,27
4100000.0,3.0,1890.0,43617.0,94.0,2017-03-30,1307.0,0.1,0.3,100.8,495.4,26
3900000.0,4.0,1929.0,36111.0,108.0,2017-03-30,2860.0,0.1,0.3,100.8,495.4,43
5940000.0,5.0,1906.0,41538.0,143.0,2017-03-30,2100.0,0.1,0.3,100.8,495.4,32
4970000.0,4.0,2002.0,46449.0,107.0,2017-03-30,2100.0,0.1,0.3,100.8,495.4,32
6425788.0,5.0,1911.0,42555.0,151.0,2017-03-30,2900.0,0.1,0.3,100.8,495.4,15
1830000.0,4.0,1964.0,17103.0,107.0,2017-03-30,2625.0,0.1,0.3,100.8,495.4,46
3195000.0,3.0,1938.0,34355.0,93.0,2017-03-30,2920.0,0.1,0.3,100.8,495.4,6
5610000.0,4.0,1964.0,47143.0,119.0,2017-03-30,2300.0,0.1,0.3,100.8,495.4,29
4050000.0,3.0,2018.0,50000.0,81.0,2017-03-30,2150.0,0.1,0.3,100.8,495.4,35
7495000.0,4.0,2018.0,40514.0,185.0,2017-03-30,1799.0,0.1,0.3,100.8,495.4,31
4417788.0,3.0,2020.0,48019.0,92.0,2017-03-30,2150.0,0.1,0.3,100.8,495.4,35
3310000.0,2.0,1935.0,32136.0,103.0,2017-03-30,2300.0,0.1,0.3,100.8,495.4,29
3695000.0,2.0,2006.0,41056.0,90.0,2017-03-30,2300.0,0.1,0.3,100.8,495.4,29
5625000.0,4.0,2008.0,48913.0,115.0,2017-03-30,2300.0,0.1,0.3,100.8,495.4,29
1249750.0,2.0,1974.0,20488.0,61.0,2017-03-29,2000.0,0.1,0.3,100.8,495.4,9
5700000.0,5.0,1973.0,34969.0,163.0,2017-03-29,2840.0,0.1,0.3,100.8,495.4,17
3295000.0,3.0,1901.0,43933.0,75.0,2017-03-29,2200.0,0.1,0.3,100.8,495.4,27
6450000.0,5.0,1903.0,54202.0,119.0,2017-03-29,2000.0,0.1,0.3,100.8,495.4,9
1575000.0,2.0,1939.0,29167.0,54.0,2017-03-29,2920.0,0.1,0.3,100.8,495.4,6
1318500.0,2.0,1968.0,18836.0,70.0,2017-03-29,2610.0,0.1,0.3,100.8,495.4,38
1656500.0,2.0,1938.0,29580.0,56.0,2017-03-29,2800.0,0.1,0.3,100.8,495.4,25
4700000.0,2.0,1880.0,44340.0,106.0,2017-03-29,1174.0,0.1,0.3,100.8,495.4,26
2175000.0,3.0,1963.0,25000.0,87.0,2017-03-29,2860.0,0.1,0.3,100.8,495.4,43
8950000.0,6.0,1878.0,52339.0,171.0,2017-03-29,2100.0,0.1,0.3,100.8,495.4,32
5200000.0,4.0,1877.0,40310.0,129.0,2017-03-29,1055.0,0.1,0.3,100.8,495.4,26
2200000.0,2.0,1972.0,34375.0,64.0,2017-03-29,2100.0,0.1,0.3,100.8,495.4,32
1330000.0,2.0,1935.0,24630.0,54.0,2017-03-29,2700.0,0.1,0.3,100.8,495.4,5
2400000.0,3.0,1904.0,36923.0,65.0,2017-03-29,2300.0,0.1,0.3,100.8,495.4,29
4000000.0,4.0,1891.0,48193.0,83.0,2017-03-29,2200.0,0.1,0.3,100.8,495.4,27
1745000.0,2.0,1962.0,25290.0,69.0,2017-03-29,2700.0,0.1,0.3,100.8,495.4,5
1700000.0,2.0,1941.0,30909.0,55.0,2017-03-29,2300.0,0.1,0.3,100.8,495.4,29
3485000.0,2.0,1968.0,41988.0,83.0,2017-03-29,2100.0,0.1,0.3,100.8,495.4,32
1410000.0,2.0,1972.0,23115.0,61.0,2017-03-29,1602.0,0.1,0.3,100.8,495.4,31
1375000.0,2.0,1939.0,24123.0,57.0,2017-03-29,2830.0,0.1,0.3,100.8,495.4,50
9100000.0,4.0,2008.0,61486.0,148.0,2017-03-29,1561.0,0.1,0.3,100.8,495.4,31
2999000.0,4.0,2017.0,27018.0,111.0,2017-03-29,2300.0,0.1,0.3,100.8,495.4,29
4300000.0,5.0,1956.0,25749.0,167.0,2017-03-29,2605.0,0.1,0.3,100.8,495.4,3
4000000.0,3.0,1936.0,33898.0,118.0,2017-03-29,2000.0,0.1,0.3,100.8,495.4,9
4150000.0,3.0,2018.0,51235.0,81.0,2017-03-29,2150.0,0.1,0.3,100.8,495.4,35
2795000.0,2.0,2018.0,47373.0,59.0,2017-03-29,2450.0,0.1,0.3,100.8,495.4,30
2900000.0,4.0,2017.0,28713.0,101.0,2017-03-29,2730.0,0.1,0.3,100.8,495.4,16
2695000.0,3.0,2017.0,31706.0,85.0,2017-03-29,2880.0,0.1,0.3,100.8,495.4,1
1575000.0,2.0,1962.0,23162.0,68.0,2017-03-29,2800.0,0.1,0.3,100.8,495.4,25
1975000.0,2.0,1936.0,35268.0,56.0,2017-03-28,2300.0,0.1,0.3,100.8,495.4,29
1875000.0,3.0,1932.0,22590.0,83.0,2017-03-28,2700.0,0.1,0.3,100.8,495.4,5
3500000.0,2.0,1898.0,54688.0,64.0,2017-03-28,1067.0,0.1,0.3,100.8,495.4,26
2095000.0,3.0,1961.0,25549.0,82.0,2017-03-28,2970.0,0.1,0.3,100.8,495.4,19
1600000.0,4.0,1972.0,15686.0,102.0,2017-03-28,2620.0,0.1,0.3,100.8,495.4,0
2900000.0,4.0,1968.0,30851.0,94.0,2017-03-28,2800.0,0.1,0.3,100.8,495.4,25
2260000.0,3.0,1939.0,33731.0,67.0,2017-03-28,2920.0,0.1,0.3,100.8,495.4,6
1895000.0,2.0,1932.0,33246.0,57.0,2017-03-28,2900.0,0.1,0.3,100.8,495.4,15
1450000.0,2.0,1934.0,26852.0,54.0,2017-03-28,2700.0,0.1,0.3,100.8,495.4,5
2350000.0,2.0,1934.0,41964.0,56.0,2017-03-28,2100.0,0.1,0.3,100.8,495.4,32
2265000.0,2.0,1893.0,41944.0,54.0,2017-03-28,2100.0,0.1,0.3,100.8,495.4,32
773000.0,3.0,1939.0,11712.0,66.0,2017-03-28,2610.0,0.1,0.3,100.8,495.4,38
4175000.0,4.0,1906.0,38657.0,108.0,2017-03-28,2100.0,0.1,0.3,100.8,495.4,32
1209834.0,2.0,1941.0,19833.0,61.0,2017-03-28,2000.0,0.1,0.3,100.8,495.4,9
2400000.0,2.0,1918.0,32432.0,74.0,2017-03-28,2300.0,0.1,0.3,100.8,495.4,29
3875000.0,3.0,1963.0,48438.0,80.0,2017-03-28,2200.0,0.1,0.3,100.8,495.4,27
5599000.0,4.0,2021.0,42740.0,131.0,2017-03-28,2610.0,0.1,0.3,100.8,495.4,38
4495000.0,3.0,2018.0,46340.0,97.0,2017-03-28,1799.0,0.1,0.3,100.8,495.4,31
5695000.0,4.0,1963.0,35154.0,162.0,2017-03-28,2300.0,0.1,0.3,100.8,495.4,29
4595000.0,3.0,2018.0,47371.0,97.0,2017-03-28,1799.0,0.1,0.3,100.8,495.4,31
4395000.0,3.0,2018.0,45781.0,96.0,2017-03-28,1799.0,0.1,0.3,100.8,495.4,31
3105000.0,4.0,2008.0,27000.0,115.0,2017-03-28,2765.0,0.1,0.3,100.8,495.4,41
2995000.0,3.0,2009.0,34034.0,88.0,2017-03-28,2500.0,0.1,0.3,100.8,495.4,45
1575000.0,2.0,1996.0,24231.0,65.0,2017-03-28,2750.0,0.1,0.3,100.8,495.4,2
2600000.0,1.0,2008.0,30233.0,86.0,2017-03-28,2300.0,0.1,0.3,100.8,495.4,29
1725000.0,5.0,1884.0,11655.0,148.0,2017-03-27,1850.0,0.1,0.3,100.8,495.4,10
1250000.0,2.0,1969.0,16234.0,77.0,2017-03-27,2635.0,0.1,0.3,100.8,495.4,20
2695000.0,2.0,2004.0,39058.0,69.0,2017-03-27,2450.0,0.1,0.3,100.8,495.4,30
4045000.0,3.0,2003.0,49938.0,81.0,2017-03-27,2500.0,0.1,0.3,100.8,495.4,45
2060000.0,3.0,1981.0,21684.0,95.0,2017-03-27,2765.0,0.1,0.3,100.8,495.4,41
1250000.0,2.0,1939.0,20833.0,60.0,2017-03-27,2665.0,0.1,0.3,100.8,495.4,47
5455000.0,4.0,1931.0,37621.0,145.0,2017-03-27,2100.0,0.1,0.3,100.8,495.4,32
